categoria,cat_url,app_name,card_url,before_open_url,new_tab_open_url,final_url
Trending This Week,https://tapps.center/trending,"PlayDeck
Your ultimate game catalog on Telegram
OPEN",,https://tapps.center/application/playdeck,https://t.me/playdeckbot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"Quantum Bit
21 Millions $QBit Miner
OPEN",,https://tapps.center/application/quantumbit,https://t.me/QBiTminer_bot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"Stake and Wake
Wake up. Claim the TON of those who couldn't.
OPEN",,https://tapps.center/application/stakeandwake,https://t.me/stakeandwake_bot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"Velour
Dating for open-minded people
OPEN",,https://tapps.center/application/velour,https://t.me/VelourAppBot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"Ronin Rise
The ultimate TON blockchain warrior game
OPEN",,https://tapps.center/application/roninrise,https://t.me/RoninRiseTONbot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"ECOS - Bitcoin Mining Company
Bitcoin Mining - Buy, Rent, Host&Trade ASICs, Clou",,https://tapps.center/application/ecosbitcoinminingcompany,https://t.me/ECOS_BTC_Mining_bot,https://tapps.center/trending
Games,https://tapps.center/games,"Notcoin
Editors' Choice
Probably nothing.
OPEN",,https://tapps.center/application/notcoin,https://t.me/notcoin_bot,https://tapps.center/games
Games,https://tapps.center/games,"Gatto
Editors' Choice
Grow Gattomons, compete with other players and earn TON!
O",,https://tapps.center/application/gatto,https://t.me/gatto_gamebot,https://tapps.center/games
Games,https://tapps.center/games,"Catizen
Where Every Game Leads to an Airdrop
OPEN",,https://tapps.center/application/catizen,https://t.me/catizenbot,https://tapps.center/games
Games,https://tapps.center/games,"Fanton Fantasy Football
First P2E game in the Fantasy Football integrated in Tel",,https://tapps.center/application/fantonfantasyfootball,https://t.me/fantongamebot,https://tapps.center/games
Games,https://tapps.center/games,"Duckygram
Editors' Choice
Breed unique collectible ducks and earn $EGG
OPEN",,https://tapps.center/application/duckygram,https://t.me/duckygram_bot,https://tapps.center/games
Games,https://tapps.center/games,"Major
Editors' Choice
First rating game in Telegram.
OPEN",,https://tapps.center/application/major,https://t.me/major,https://tapps.center/games
Games,https://tapps.center/games,"Dogs
It is not just another meme coin. It’s the most Telegram-native meme coin, ",,https://tapps.center/application/dogs,https://t.me/dogshouse_bot,https://tapps.center/games
Games,https://tapps.center/games,"The Pixels
Amazing social multiplayer game. Draw, Win, Earn!
OPEN",,https://tapps.center/application/thepixels,https://t.me/the_pixels_bot,https://tapps.center/games
Games,https://tapps.center/games,"PlayDeck
Your ultimate game catalog on Telegram
OPEN",,https://tapps.center/application/playdeck,https://t.me/playdeckbot,https://tapps.center/games
Games,https://tapps.center/games,"Hackney Games
Play multiplayer games, challenge friends, and compete for high sc",,https://tapps.center/application/gamesplatform,https://t.me/InstantGames_bot,https://tapps.center/games
Games,https://tapps.center/games,"Punk City
$PUNK GameFi ecosystem. Runs on The Open Network.
OPEN",,https://tapps.center/application/punkcity,https://t.me/PunkCity2094bot,https://tapps.center/games
Games,https://tapps.center/games,"TON Map
NEW
Digital lands on TON
OPEN",,https://tapps.center/application/tonmap,https://t.me/thetonmapbot,https://tapps.center/games
Games,https://tapps.center/games,"DevStudio Tycoon
NEW
Build Games. Earn Rewards.
OPEN",,https://tapps.center/application/dst,https://t.me/DevTycoon_bot,https://tapps.center/games
Games,https://tapps.center/games,"PlayPuzzles
NEW
Play games, win TON prizes
OPEN",,https://tapps.center/application/playpuzzles,https://t.me/puzzlesGame_bot,https://tapps.center/games
Games,https://tapps.center/games,"Corporate Ladder
NEW
Lumberjack meets Office life.
OPEN",,https://tapps.center/application/corporateladder,https://t.me/corporateladder_bot,https://tapps.center/games
Games,https://tapps.center/games,"SharksGames
NEW
One of the best Games
OPEN",,https://tapps.center/application/sharksgames,https://t.me/SharksMiniApps_bot,https://tapps.center/games
Games,https://tapps.center/games,"TokyoCommand
NEW
TON strategy P2E mini app game
OPEN",,https://tapps.center/application/tokyocommand,https://t.me/TokyoCommand_bot,https://tapps.center/games
Games,https://tapps.center/games,"Neo-Tokyo: Protocol 2099
NEW
Pixel-cyberpunk arcade game with original music
OPE",,https://tapps.center/application/neotokyoprotocol2099,https://t.me/protocol2099_bot,https://tapps.center/games
Games,https://tapps.center/games,"Universe
NEW
Build fight earn!
OPEN",,https://tapps.center/application/universe,https://t.me/universe_mainbot,https://tapps.center/games
Games,https://tapps.center/games,"Vexo Jump
NEW
Jump, collect rewards, upgrade characters
OPEN",,https://tapps.center/application/vexojump,https://t.me/vexojumpbot,https://tapps.center/games
Games,https://tapps.center/games,"Echo State: Neon Runner
NEW
Test your reflexes in this fast-paced neon rhythm ru",,https://tapps.center/application/echostateneonrunner,https://t.me/echostate_bot,https://tapps.center/games
Games,https://tapps.center/games,"2048 Evolution
2048-style merge puzzle game
OPEN",,https://tapps.center/application/2048evolution,https://t.me/Evolution2048Bot,https://tapps.center/games
Games,https://tapps.center/games,"Bunny Broker
Cute bunny-themed game
OPEN",,https://tapps.center/application/bunnybroker,https://t.me/bunnybroker_bot,https://tapps.center/games
Games,https://tapps.center/games,"Uni Battle
Real-time multiplayer arena. Move, eat, grow, split!
OPEN",,https://tapps.center/application/unibattle,https://t.me/unibattlebot,https://tapps.center/games
Games,https://tapps.center/games,"PollX
Play quizzes and earn points
OPEN",,https://tapps.center/application/pollx,https://t.me/pollx1bot,https://tapps.center/games
Games,https://tapps.center/games,"Puff Pals
Cozy reef arcade. Play, build, earn.
OPEN",,https://tapps.center/application/puffpals,https://t.me/PuffPalsBot,https://tapps.center/games
Games,https://tapps.center/games,"Grumpys Pub Games
Grumpy's Pub Games
OPEN",,https://tapps.center/application/grumpyspubgames,https://t.me/PubGamesBot,https://tapps.center/games
Games,https://tapps.center/games,"Idle Castle Defender
Defend your castle and Earn TON
OPEN",,https://tapps.center/application/idlecastledefender,https://t.me/playcastledefender_bot,https://tapps.center/games
Games,https://tapps.center/games,"Neukgu Run
Help Neukgu the wolfdog escape
OPEN",,https://tapps.center/application/neukgurun,https://t.me/Wolfdogrunbot,https://tapps.center/games
Games,https://tapps.center/games,"Monster Tap Arena
OPEN",,https://tapps.center/application/monstertaparena,https://t.me/MonsterTapArenaBot,https://tapps.center/games
Games,https://tapps.center/games,"RAZEX
Neon geometric arcade survival
OPEN",,https://tapps.center/application/razex,https://t.me/RAZEXGameBot,https://tapps.center/games
